Date,Longitude,Latitude,Elevation,Max_Temperature,Min_Temperature,Precipitation,Wind,Relative_Humidity
1/3/2000,-75.625,5.77622985839844,659,20.991,13.289,3.4881569712,0.875405160927123,0.855988324114223,
1/4/2000,-75.625,5.77622985839844,659,18.033,14.177,6.57806436,0.919739740981915,0.937265830498332,
1/5/2000,-75.625,5.77622985839844,659,16.359,13.89,5.75409276,0.877769315933745,0.951952804084656,
1/6/2000,-75.625,5.77622985839844,659,15.171,13.514,19.61746524,0.928325297817334,0.980670833435679,
1/7/2000,-75.625,5.77622985839844,659,17.36,13.192,5.026250124,1.14735501855829,0.94853200624048,
1/8/2000,-75.625,5.77622985839844,659,19.212,12.73,0.8342740728,0.920611797558252,0.889273958102093,
1/9/2000,-75.625,5.77622985839844,659,16.312,13.919,5.00564448,0.664561451240769,0.967043282716044,
1/10/2000,-75.625,5.77622985839844,659,26.227,12.544,6.780619044,0.697310256960202,0.845655186440149,
1/11/2000,-75.625,5.77622985839844,659,20.741,12.989,6.78577806,1.23594029177507,0.879207987454621,
1/12/2000,-75.625,5.77622985839844,659,23.676,12.803,3.675272796,1.43767148281728,0.854158559857881,
1/13/2000,-75.625,5.77622985839844,659,24.161,11.426,1.7887131,1.22069372159176,0.829812294235968,
1/14/2000,-75.625,5.77622985839844,659,24.55,10.966,2.6744861952,1.04267547345961,0.8355081644904,
1/15/2000,-75.625,5.77622985839844,659,24.599,10.202,1.6050344256,1.14878616665991,0.790728795104709,
1/16/2000,-75.625,5.77622985839844,659,18.262,12.847,3.66325758,0.892007813534761,0.850288095389749,
1/17/2000,-75.625,5.77622985839844,659,17.337,11.28,17.197038,1.18410288826294,0.914727351635192,
1/18/2000,-75.625,5.77622985839844,659,24.667,9.31799999999998,5.506901532,1.38863509598698,0.799887690382233,
1/19/2000,-75.625,5.77622985839844,659,25.889,10.756,1.1363964264,1.31977406794357,0.715806170641448,
1/20/2000,-75.625,5.77622985839844,659,24.361,8.59199999999998,0,1.3546619390623,0.703479305374711,
1/21/2000,-75.625,5.77622985839844,659,25.924,10.957,0.6694796664,1.55214711889788,0.734180766498746,
1/22/2000,-75.625,5.77622985839844,659,25.927,12.993,0.140762232,1.72873588867254,0.720361043342564,
1/23/2000,-75.625,5.77622985839844,659,27.432,10.56,0.66261294,1.38718180930767,0.700511272932483,
1/24/2000,-75.625,5.77622985839844,659,25.409,9.34300000000002,0.5750658,1.06739201084171,0.769957895579622,
1/25/2000,-75.625,5.77622985839844,659,28.098,12.703,9.3040520904,0.836643917432307,0.797178416542355,
1/26/2000,-75.625,5.77622985839844,659,20.879,13.613,10.709950464,1.6395248191383,0.901567178713351,
1/27/2000,-75.625,5.77622985839844,659,23.371,13.173,2.20927968,1.57783114936688,0.868937034642246,
1/28/2000,-75.625,5.77622985839844,659,22.18,13.425,7.31105406,0.944732726463112,0.900689674654615,
1/29/2000,-75.625,5.77622985839844,659,20.918,13.87,13.34838366,0.708490135979693,0.906876707303124,
1/30/2000,-75.625,5.77622985839844,659,18.21,10.531,11.147694156,0.962958632108633,0.937374563427806,
1/31/2000,-75.625,5.77622985839844,659,26.896,10.077,14.24446092,0.868212587070307,0.856072829107907,
2/1/2000,-75.625,5.77622985839844,659,24.692,14.817,15.648653484,0.766206094549594,0.857035026317591,
2/2/2000,-75.625,5.77622985839844,659,22.567,13.169,6.9763248,1.33608317637461,0.811758871251822,
2/3/2000,-75.625,5.77622985839844,659,22.761,14.046,7.4981659752,1.26431124089767,0.852400610828974,
2/4/2000,-75.625,5.77622985839844,659,26.112,14.336,2.57492052,1.12750112121364,0.800814139072113,
2/5/2000,-75.625,5.77622985839844,659,22.343,12.954,5.1429793464,1.03243688533433,0.858982873836562,
2/6/2000,-75.625,5.77622985839844,659,23.996,13.426,0.861740208,1.43849893777836,0.809108379105095,
2/7/2000,-75.625,5.77622985839844,659,26.667,12.394,0,1.29260307675226,0.69813836089357,
2/8/2000,-75.625,5.77622985839844,659,29.062,10.296,0,1.1415602981705,0.660692829690053,
2/9/2000,-75.625,5.77622985839844,659,26.443,12.179,3.43323036,1.09251316134428,0.768527099670013,
2/10/2000,-75.625,5.77622985839844,659,23.88,14.227,1.7526643704,1.41302105990635,0.836054874286085,
2/11/2000,-75.625,5.77622985839844,659,24.038,13.799,2.049636276,1.21867624654751,0.84202535276405,
2/12/2000,-75.625,5.77622985839844,659,27.402,14.409,3.0006403272,1.40167124541157,0.802431745666708,
2/13/2000,-75.625,5.77622985839844,659,26.106,12.015,1.2908930976,1.14326318523158,0.777393141520341,
2/14/2000,-75.625,5.77622985839844,659,26.91,10.794,2.6058204,1.07189812103395,0.777071585705998,
2/15/2000,-75.625,5.77622985839844,659,28.336,12.417,1.1930475456,1.35975111961193,0.684093614052186,
2/16/2000,-75.625,5.77622985839844,659,26.826,12.527,3.5121919176,1.13960646296675,0.706801100836604,
2/17/2000,-75.625,5.77622985839844,659,22.663,12.756,4.7378547144,1.12769350450665,0.80081771821192,
2/18/2000,-75.625,5.77622985839844,659,25.51,11.044,5.1120762264,1.26303845695627,0.813601860141535,
2/19/2000,-75.625,5.77622985839844,659,24.247,11.082,3.80058552,1.15009278810025,0.821215705033222,
2/20/2000,-75.625,5.77622985839844,659,26.022,12.206,8.1230132376,0.960392336539118,0.823592968463371,
2/21/2000,-75.625,5.77622985839844,659,19.355,14.279,19.75479192,0.909439311944832,0.93187311789747,
2/22/2000,-75.625,5.77622985839844,659,18.311,11.142,61.0565409,0.839128405438225,0.940008909473634,
2/23/2000,-75.625,5.77622985839844,659,22.356,12.226,15.0409739664,0.970965204376568,0.901128763452696,
2/24/2000,-75.625,5.77622985839844,659,18.956,14.257,20.946111696,1.01730580250702,0.94928906728952,
2/25/2000,-75.625,5.77622985839844,659,21.462,14.62,66.38150646,0.845938733476354,0.917317726628796,
2/26/2000,-75.625,5.77622985839844,659,20.785,14.752,43.4715252264,0.963110470918305,0.949273344429488,
2/27/2000,-75.625,5.77622985839844,659,16.003,14.44,44.22168432,1.09267973368961,0.973065882407805,
2/28/2000,-75.625,5.77622985839844,659,17.712,13.814,11.66611248,0.733668943487657,0.96023463009417,
2/29/2000,-75.625,5.77622985839844,659,23.743,13.908,3.045272112,1.36319570426811,0.848626018019015,
3/1/2000,-75.625,5.77622985839844,659,24.511,14.103,2.0633719608,1.67269162308687,0.828017441445157,
3/2/2000,-75.625,5.77622985839844,659,26.942,13.62,5.5120486176,1.34288353530628,0.802844412439614,
3/3/2000,-75.625,5.77622985839844,659,26.011,14.843,11.57684184,1.27631611271705,0.815642489247518,
3/4/2000,-75.625,5.77622985839844,659,26.84,14.67,24.1613329968,1.15896510542329,0.841675979253139,
3/5/2000,-75.625,5.77622985839844,659,28.551,14.793,9.4499603424,1.0479398385529,0.823113955115897,
3/6/2000,-75.625,5.77622985839844,659,26.967,14.682,12.50381376,1.18638608534806,0.826795159274774,
3/7/2000,-75.625,5.77622985839844,659,25.867,14.112,12.8883373128,0.867984582650568,0.842292741205187,
3/8/2000,-75.625,5.77622985839844,659,22.795,13.9,16.029737244,0.605193359448558,0.933698459431053,
3/9/2000,-75.625,5.77622985839844,659,22.434,14.441,14.395518,0.939622047557341,0.920754574343081,
3/10/2000,-75.625,5.77622985839844,659,25.577,12.66,1.1844649584,1.19032360119511,0.836914585504673,
3/11/2000,-75.625,5.77622985839844,659,26.825,13.177,1.7509448304,0.900067793396519,0.760396778029739,
3/12/2000,-75.625,5.77622985839844,659,23.318,12.426,9.486009,1.02438949332967,0.847444846602392,
3/13/2000,-75.625,5.77622985839844,659,22.908,14.18,7.95478644,1.17223564126598,0.886449316833211,
3/14/2000,-75.625,5.77622985839844,659,25.795,12.877,9.04998654,0.918673518490536,0.850148900183063,
3/15/2000,-75.625,5.77622985839844,659,25.845,12.638,9.01221912,1.04796732686501,0.815640112345073,
3/16/2000,-75.625,5.77622985839844,659,29.536,11.569,2.269364688,1.01198417024774,0.731907234491512,
3/17/2000,-75.625,5.77622985839844,659,27.103,13.962,17.53177644,0.782815468158077,0.829825484668098,
3/18/2000,-75.625,5.77622985839844,659,23.122,10.409,3.915595188,0.789346092459384,0.8803302832364,
3/19/2000,-75.625,5.77622985839844,659,26.033,8.87599999999998,3.9979936728,0.801212838264396,0.840939974602493,
3/20/2000,-75.625,5.77622985839844,659,22.429,13.684,5.81932152,1.36120590747757,0.852306829484266,
3/21/2000,-75.625,5.77622985839844,659,24.04,12.613,6.287960016,1.191952281096,0.837994883659641,
3/22/2000,-75.625,5.77622985839844,659,23.293,12.956,8.7444339264,1.205552860296,0.846161771214767,
3/23/2000,-75.625,5.77622985839844,659,16.378,14.526,15.133662,1.17475088099795,0.964528050530287,
3/24/2000,-75.625,5.77622985839844,659,15.892,13.991,13.02223032,1.05286245985369,0.970270937447664,
3/25/2000,-75.625,5.77622985839844,659,16.652,13.535,10.33745508,0.768992452559464,0.970446090730093,
